ec50UM,ic50UM,aMax,actArea
0.05906623,0.05867954,-93.773117,4.7345
0.40850645,0.83757508,-69.30188,2.6995
0.03626474,0.04258319,-90.386703,4.5036
3.37501764,3.24539065,-81.633911,2.1238
0.0073013,0.00644435,-93.415024,6.4934
0.07415554,0.06742653,-96.278732,5.4087
0.01836952,0.03356985,-97.900169,5.2178
0.00974633,0.00899397,-94.813919,6.2273
0.0297631,0.04164324,-98.901375,5.3778
4.39336613,8,-98.255981,7.4525
1.20888555,1.19910622,-98.839615,2.4769
8.72054409,7.85188723,-54.804047,1.3094
3.50113297,2.85500121,-94.060097,1.9859
0.26135641,0.31229904,-85.407585,3.0618
1.61637998,1.92904282,-72.458214,1.4702
0.2349515,0.25044206,-95.579018,3.8193
0.14120138,0.12698089,-93.750824,4.1427
6.62754154,7.47363234,-55.165482,0.7999
0.40641379,0.42586872,-82.830681,2.8494
1.92047942,1.95809281,-89.334045,1.4957
0.02353929,0.0195941,-95.751068,5.5243
0.08818215,0.1035572,-95.247208,3.9183
8.74404109,5.33422518,-58.622044,1.0873
9.03671073,2.6322906,-92.630234,1.5113
0.16849423,0.17188624,-91.930412,3.2674
0.18973963,0.1969084,-90.417671,2.844
0.04903768,0.03881523,-87.882927,4.5241
0.09700853,0.10690148,-95.989174,3.2886
2.7325151,2.26913357,-73.276505,1.337
0.32578483,0.35075253,-91.800201,3.0484
6.43602085,4.87636519,-81.328133,1.0372
8.27624977,8,-28.650944,0.1626
1.20877469,1.22053409,-95.376579,2.7719
0.12129758,0.1251739,-95.861336,3.7926
