ec50UM,ic50UM,aMax,actArea
4.85755473,0.0032222,-89.959564,6.5453
0.00807886,0.00766503,-95.117905,6.4096
0.9110074,1.18384147,-83.448441,2.2936
0.04475271,0.04918704,-90.473045,4.5603
0.00319402,8,-32.77322,2.1986
8.46655556,5.89788866,-85.97554,1.192
2.90059352,3.03845453,-94.961983,1.5712
3.5406642,4.33589649,-70.753799,0.7177
8.65743633,6.90886641,-65.563263,0.941
0.99194402,8,-46.79427,1.0007
0.42799345,0.51574677,-95.794861,2.9271
0.06541693,0.09227067,-62.46254,4.2428
0.02040139,0.01568753,-68.301468,4.076
30,0.00318989,-93.177025,6.8236
0.02301234,0.02366602,-94.315125,5.5411
0.47245938,0.4843916,-93.647751,2.6193
1.66750586,1.76048708,-95.308777,1.9258
1.13283718,1.14879894,-97.040329,2.7252
8.06775694,8,-26.103922,0.1505
8.36424271,6.37256765,-68.305054,0.6391
0.02982147,8,-27.86437,0.4642
0.10295139,0.20462079,-81.343956,3.0913
0.16690508,0.17304933,-93.611763,3.6338
0.02817222,0.02789399,-96.032097,5.1266
0.81245178,0.87340778,-94.815407,2.5356
3.82383251,2.46857762,-96.935196,1.9474
0.08676691,0.0936602,-92.549675,4.1392
4.31380177,4.38189793,-95.843498,1.226
6.38406181,5.93816233,-97.873055,1.0764
0.19367692,0.20935839,-86.267113,3.0586
0.020004,0.01640926,-89.581665,5.9128
0.05557544,0.06227765,-96.644623,4.2807
0.13910154,0.15601884,-82.636101,3.0368
0.66306454,0.62655366,-91.734619,2.6928
9.01847998,4.43785334,-85.979118,1.0229
0.05867228,0.0897556,-73.724594,3.853
0.1493557,0.95953369,-64.332024,2.2827
0.01082286,0.00529529,-84.737206,6.0363
0.09503666,0.13448584,-89.726112,3.7029
0.18365882,0.29048318,-55.548569,2.2201
0.22518127,0.4987151,-76.062851,2.841
2.46720195,3.02230096,-67.610291,1.3825
6.30749369,8,-22.550013,0.2728
0.02220553,0.02544143,-95.400475,5.2887
0.10339519,0.12839118,-94.032333,3.7332
0.00909458,0.00643436,-94.870506,6.5985
0.01208159,0.0133036,-96.663971,5.9291
0.06560509,0.06471095,-94.722992,4.6146
4.15316773,4.20612907,-98.131264,1.0553
0.43516123,0.38525707,-99.323471,3.1165
2.54136777,8,-22.124441,0.3323
2.55380344,8,-30.04038,1.0362
8.78157338,8,-40.847839,0.6168
8.23869915,6.90865374,-91.437538,0.9786
0.04501148,0.11921521,-60.185371,2.73
0.15166922,0.45914829,-65.701172,2.493
0.27954704,0.33658472,-92.229889,2.933
0.01580938,0.08020828,-67.241058,3.6445
0.04598113,0.04505014,-96.19973,4.8894
8.57326154,4.48335218,-96.78418,1.4618
0.52423632,0.67098588,-82.755013,2.5552
7.9176445,5.83767605,-88.023232,1.459
0.27001241,8,-20.924055,0.4534
7.82385302,7.6553669,-55.784309,0.5345
0.07313077,0.07634669,-91.872437,5.1094
0.01659822,0.01893249,-95.923531,5.795
0.01462315,0.01681086,-94.426933,5.7298
0.09693235,0.13004668,-88.405876,4.4472
0.00819211,0.01699287,-99.272758,5.7118
8.0440744,7.61197805,-59.889698,1.0059
0.20854276,8,-23.246212,1.5103
8.06996823,6.98710108,-83.370216,1.21
0.79548478,0.82929158,-89.330078,3.0827
0.05611742,0.05752108,-95.276886,5.0107
0.02093847,0.02227029,-94.546547,5.4117
0.1271214,0.35660937,-77.736725,3.086
1.5092665,1.60025513,-94.892067,2.0581
0.05449601,0.05212696,-97.678825,5.3756
0.00275075,8,-97.732346,7.2847
8.20006523,5.44700766,-92.452065,1.2202
8.67269699,6.77028608,-58.132523,0.9963
3.3880384,8,-44.221714,0.9375
3.06592321,4.22121096,-67.342003,1.009
0.04600714,0.04488504,-93.64518,4.8463
0.1476588,0.15828325,-90.710716,3.4227
0.0147305,0.01144514,-92.665863,6.0871
0.04923663,0.05590766,-95.011612,4.4484
0.10093018,0.20764482,-61.860569,2.4805
0.09896233,0.10979575,-92.6847,3.8976
0.43811578,0.46548316,-94.65274,2.6435
8.9465307,8,-48.791157,0.6231
3.69875121,5.011621,-65.352402,0.6397
8.34501577,8,-43.292076,0.4729
3.36599135,5.02773714,-59.522244,0.5902
1.15136945,1.11932397,-91.833153,2.0988
